juego,sorteo,fecha,n1,n2,n3,n4,n5,superbalota,page,detail_url
REVANCHA,2603,10 de Enero de 2026,6,10,25,33,43,16,5,https://www.baloto.com/resultados-revancha/2603
BALOTO,2602,7 de Enero de 2026,5,9,28,32,35,7,6,https://www.baloto.com/resultados-baloto/2602
REVANCHA,2602,7 de Enero de 2026,4,18,21,28,33,2,6,https://www.baloto.com/resultados-revancha/2602
BALOTO,2601,5 de Enero de 2026,9,13,28,31,35,2,6,https://www.baloto.com/resultados-baloto/2601
REVANCHA,2601,5 de Enero de 2026,4,7,20,22,39,3,6,https://www.baloto.com/resultados-revancha/2601
BALOTO,2600,3 de Enero de 2026,9,15,24,38,42,5,6,https://www.baloto.com/resultados-baloto/2600
REVANCHA,2600,3 de Enero de 2026,1,4,11,14,34,5,6,https://www.baloto.com/resultados-revancha/2600
BALOTO,2599,31 de Diciembre de 2025,22,24,27,37,40,8,6,https://www.baloto.com/resultados-baloto/2599
REVANCHA,2599,31 de Diciembre de 2025,9,13,19,41,43,16,6,https://www.baloto.com/resultados-revancha/2599
BALOTO,2598,29 de Diciembre de 2025,8,17,21,36,39,15,6,https://www.baloto.com/resultados-baloto/2598
REVANCHA,2598,29 de Diciembre de 2025,11,15,23,36,42,8,6,https://www.baloto.com/resultados-revancha/2598
BALOTO,2597,27 de Diciembre de 2025,5,17,18,32,41,6,7,https://www.baloto.com/resultados-baloto/2597
REVANCHA,2597,27 de Diciembre de 2025,4,15,22,35,41,3,7,https://www.baloto.com/resultados-revancha/2597
BALOTO,2596,24 de Diciembre de 2025,8,9,15,23,35,15,7,https://www.baloto.com/resultados-baloto/2596
REVANCHA,2596,24 de Diciembre de 2025,14,18,27,34,40,7,7,https://www.baloto.com/resultados-revancha/2596
BALOTO,2595,22 de Diciembre de 2025,4,17,19,32,42,15,7,https://www.baloto.com/resultados-baloto/2595
REVANCHA,2595,22 de Diciembre de 2025,9,24,27,35,42,4,7,https://www.baloto.com/resultados-revancha/2595
BALOTO,2594,20 de Diciembre de 2025,4,5,10,17,40,10,7,https://www.baloto.com/resultados-baloto/2594
REVANCHA,2594,20 de Diciembre de 2025,1,12,19,22,29,7,7,https://www.baloto.com/resultados-revancha/2594
BALOTO,2593,17 de Diciembre de 2025,4,9,18,29,31,5,7,https://www.baloto.com/resultados-baloto/2593
REVANCHA,2593,17 de Diciembre de 2025,6,15,17,27,30,16,7,https://www.baloto.com/resultados-revancha/2593
BALOTO,2592,15 de Diciembre de 2025,10,29,36,38,40,7,8,https://www.baloto.com/resultados-baloto/2592
REVANCHA,2592,15 de Diciembre de 2025,3,18,30,33,42,5,8,https://www.baloto.com/resultados-revancha/2592
BALOTO,2591,13 de Diciembre de 2025,2,13,14,15,28,2,8,https://www.baloto.com/resultados-baloto/2591
REVANCHA,2591,13 de Diciembre de 2025,12,14,17,37,41,9,8,https://www.baloto.com/resultados-revancha/2591
BALOTO,2590,10 de Diciembre de 2025,3,12,13,26,37,9,8,https://www.baloto.com/resultados-baloto/2590
REVANCHA,2590,10 de Diciembre de 2025,20,40,41,42,43,11,8,https://www.baloto.com/resultados-revancha/2590
BALOTO,2589,8 de Diciembre de 2025,2,21,22,24,37,10,8,https://www.baloto.com/resultados-baloto/2589
