juego,sorteo,fecha,n1,n2,n3,n4,n5,superbalota,page,detail_url
BALOTO,2505,24 de Mayo de 2025,1,10,13,38,40,13,25,https://www.baloto.com/resultados-baloto/2505
REVANCHA,2505,24 de Mayo de 2025,7,15,33,35,36,10,25,https://www.baloto.com/resultados-revancha/2505
BALOTO,2504,21 de Mayo de 2025,2,3,4,10,34,7,25,https://www.baloto.com/resultados-baloto/2504
REVANCHA,2504,21 de Mayo de 2025,3,11,20,35,40,16,25,https://www.baloto.com/resultados-revancha/2504
BALOTO,2503,17 de Mayo de 2025,6,14,34,36,41,12,25,https://www.baloto.com/resultados-baloto/2503
REVANCHA,2503,17 de Mayo de 2025,2,10,14,23,36,15,25,https://www.baloto.com/resultados-revancha/2503
BALOTO,2502,14 de Mayo de 2025,3,31,40,41,42,14,26,https://www.baloto.com/resultados-baloto/2502
REVANCHA,2502,14 de Mayo de 2025,18,20,21,26,36,7,26,https://www.baloto.com/resultados-revancha/2502
BALOTO,2501,10 de Mayo de 2025,2,5,18,21,28,2,26,https://www.baloto.com/resultados-baloto/2501
REVANCHA,2501,10 de Mayo de 2025,5,11,23,25,34,3,26,https://www.baloto.com/resultados-revancha/2501
BALOTO,2500,7 de Mayo de 2025,5,9,17,25,32,2,26,https://www.baloto.com/resultados-baloto/2500
REVANCHA,2500,7 de Mayo de 2025,8,14,30,36,42,1,26,https://www.baloto.com/resultados-revancha/2500
BALOTO,2499,3 de Mayo de 2025,10,12,24,32,37,12,26,https://www.baloto.com/resultados-baloto/2499
REVANCHA,2499,3 de Mayo de 2025,3,21,31,33,40,14,26,https://www.baloto.com/resultados-revancha/2499
BALOTO,2498,30 de Abril de 2025,5,12,17,19,22,16,26,https://www.baloto.com/resultados-baloto/2498
REVANCHA,2498,30 de Abril de 2025,6,23,32,34,40,14,26,https://www.baloto.com/resultados-revancha/2498
BALOTO,2497,26 de Abril de 2025,1,15,20,23,31,10,27,https://www.baloto.com/resultados-baloto/2497
REVANCHA,2497,26 de Abril de 2025,1,16,18,20,25,15,27,https://www.baloto.com/resultados-revancha/2497
BALOTO,2496,23 de Abril de 2025,4,5,19,28,43,5,27,https://www.baloto.com/resultados-baloto/2496
REVANCHA,2496,23 de Abril de 2025,2,9,22,23,25,5,27,https://www.baloto.com/resultados-revancha/2496
BALOTO,2495,19 de Abril de 2025,11,26,31,35,43,6,27,https://www.baloto.com/resultados-baloto/2495
REVANCHA,2495,19 de Abril de 2025,24,34,35,36,40,5,27,https://www.baloto.com/resultados-revancha/2495
BALOTO,2494,16 de Abril de 2025,5,11,18,31,32,9,27,https://www.baloto.com/resultados-baloto/2494
REVANCHA,2494,16 de Abril de 2025,18,32,34,36,38,13,27,https://www.baloto.com/resultados-revancha/2494
BALOTO,2493,12 de Abril de 2025,3,4,13,38,39,1,27,https://www.baloto.com/resultados-baloto/2493
REVANCHA,2493,12 de Abril de 2025,21,25,38,39,42,15,27,https://www.baloto.com/resultados-revancha/2493
BALOTO,2492,9 de Abril de 2025,7,8,9,19,26,4,28,https://www.baloto.com/resultados-baloto/2492
REVANCHA,2492,9 de Abril de 2025,12,25,28,37,42,9,28,https://www.baloto.com/resultados-revancha/2492
BALOTO,2491,5 de Abril de 2025,1,7,22,40,41,3,28,https://www.baloto.com/resultados-baloto/2491
REVANCHA,2491,5 de Abril de 2025,4,9,17,18,37,5,28,https://www.baloto.com/resultados-revancha/2491
BALOTO,2490,2 de Abril de 2025,18,25,40,41,43,13,28,https://www.baloto.com/resultados-baloto/2490
REVANCHA,2490,2 de Abril de 2025,9,13,20,23,24,10,28,https://www.baloto.com/resultados-revancha/2490
BALOTO,2489,29 de Marzo de 2025,3,9,27,36,37,1,28,https://www.baloto.com/resultados-baloto/2489
REVANCHA,2489,29 de Marzo de 2025,17,25,27,28,39,3,28,https://www.baloto.com/resultados-revancha/2489
BALOTO,2488,26 de Marzo de 2025,3,9,21,27,39,3,28,https://www.baloto.com/resultados-baloto/2488
REVANCHA,2488,26 de Marzo de 2025,7,13,35,37,43,2,28,https://www.baloto.com/resultados-revancha/2488
BALOTO,2487,22 de Marzo de 2025,8,12,22,26,28,1,29,https://www.baloto.com/resultados-baloto/2487
REVANCHA,2487,22 de Marzo de 2025,6,10,17,21,40,16,29,https://www.baloto.com/resultados-revancha/2487
BALOTO,2486,19 de Marzo de 2025,1,18,27,40,43,1,29,https://www.baloto.com/resultados-baloto/2486
REVANCHA,2486,19 de Marzo de 2025,9,15,18,28,42,11,29,https://www.baloto.com/resultados-revancha/2486
BALOTO,2485,15 de Marzo de 2025,17,21,25,26,39,15,29,https://www.baloto.com/resultados-baloto/2485
REVANCHA,2485,15 de Marzo de 2025,5,10,13,31,37,16,29,https://www.baloto.com/resultados-revancha/2485
BALOTO,2484,12 de Marzo de 2025,9,16,32,33,40,12,29,https://www.baloto.com/resultados-baloto/2484
REVANCHA,2484,12 de Marzo de 2025,17,20,26,27,42,1,29,https://www.baloto.com/resultados-revancha/2484
BALOTO,2483,8 de Marzo de 2025,1,17,33,42,43,12,29,https://www.baloto.com/resultados-baloto/2483
REVANCHA,2483,8 de Marzo de 2025,3,5,6,33,42,4,29,https://www.baloto.com/resultados-revancha/2483
BALOTO,2482,5 de Marzo de 2025,11,17,18,26,42,13,30,https://www.baloto.com/resultados-baloto/2482
REVANCHA,2482,5 de Marzo de 2025,8,14,19,37,43,6,30,https://www.baloto.com/resultados-revancha/2482
BALOTO,2481,1 de Marzo de 2025,3,4,17,21,25,4,30,https://www.baloto.com/resultados-baloto/2481
REVANCHA,2481,1 de Marzo de 2025,7,21,26,32,40,12,30,https://www.baloto.com/resultados-revancha/2481
BALOTO,2480,26 de Febrero de 2025,7,28,29,33,43,2,30,https://www.baloto.com/resultados-baloto/2480
REVANCHA,2480,26 de Febrero de 2025,2,8,19,21,43,9,30,https://www.baloto.com/resultados-revancha/2480
BALOTO,2479,22 de Febrero de 2025,3,13,19,34,43,12,30,https://www.baloto.com/resultados-baloto/2479
REVANCHA,2479,22 de Febrero de 2025,7,12,19,33,38,8,30,https://www.baloto.com/resultados-revancha/2479
BALOTO,2478,19 de Febrero de 2025,14,21,28,30,38,14,30,https://www.baloto.com/resultados-baloto/2478
REVANCHA,2478,19 de Febrero de 2025,6,8,32,35,39,3,30,https://www.baloto.com/resultados-revancha/2478
BALOTO,2477,15 de Febrero de 2025,8,15,17,24,42,11,31,https://www.baloto.com/resultados-baloto/2477
REVANCHA,2477,15 de Febrero de 2025,1,13,27,35,41,10,31,https://www.baloto.com/resultados-revancha/2477
BALOTO,2476,12 de Febrero de 2025,1,16,30,39,41,15,31,https://www.baloto.com/resultados-baloto/2476
REVANCHA,2476,12 de Febrero de 2025,4,5,7,25,32,4,31,https://www.baloto.com/resultados-revancha/2476
BALOTO,2475,8 de Febrero de 2025,2,9,10,39,43,14,31,https://www.baloto.com/resultados-baloto/2475
REVANCHA,2475,8 de Febrero de 2025,4,10,12,27,40,9,31,https://www.baloto.com/resultados-revancha/2475
BALOTO,2474,5 de Febrero de 2025,5,11,14,37,38,14,31,https://www.baloto.com/resultados-baloto/2474
REVANCHA,2474,5 de Febrero de 2025,4,7,16,18,43,2,31,https://www.baloto.com/resultados-revancha/2474
BALOTO,2473,1 de Febrero de 2025,2,4,5,28,33,12,31,https://www.baloto.com/resultados-baloto/2473
REVANCHA,2473,1 de Febrero de 2025,5,6,19,32,37,16,31,https://www.baloto.com/resultados-revancha/2473
BALOTO,2472,29 de Enero de 2025,12,20,26,34,38,1,32,https://www.baloto.com/resultados-baloto/2472
REVANCHA,2472,29 de Enero de 2025,7,12,33,36,39,10,32,https://www.baloto.com/resultados-revancha/2472
BALOTO,2471,25 de Enero de 2025,1,16,19,25,31,6,32,https://www.baloto.com/resultados-baloto/2471
REVANCHA,2471,25 de Enero de 2025,10,26,37,40,42,5,32,https://www.baloto.com/resultados-revancha/2471
BALOTO,2470,22 de Enero de 2025,12,15,28,34,37,1,32,https://www.baloto.com/resultados-baloto/2470
REVANCHA,2470,22 de Enero de 2025,4,15,23,27,34,13,32,https://www.baloto.com/resultados-revancha/2470
BALOTO,2469,18 de Enero de 2025,14,19,30,38,41,10,32,https://www.baloto.com/resultados-baloto/2469
REVANCHA,2469,18 de Enero de 2025,1,6,7,20,41,2,32,https://www.baloto.com/resultados-revancha/2469
BALOTO,2468,15 de Enero de 2025,7,16,32,33,43,1,32,https://www.baloto.com/resultados-baloto/2468
REVANCHA,2468,15 de Enero de 2025,13,22,25,32,35,10,32,https://www.baloto.com/resultados-revancha/2468
BALOTO,2467,11 de Enero de 2025,2,28,31,32,34,6,33,https://www.baloto.com/resultados-baloto/2467
REVANCHA,2467,11 de Enero de 2025,9,15,23,28,39,7,33,https://www.baloto.com/resultados-revancha/2467
BALOTO,2466,8 de Enero de 2025,18,24,27,37,43,11,33,https://www.baloto.com/resultados-baloto/2466
REVANCHA,2466,8 de Enero de 2025,1,5,28,36,38,5,33,https://www.baloto.com/resultados-revancha/2466
BALOTO,2465,4 de Enero de 2025,10,13,18,24,26,9,33,https://www.baloto.com/resultados-baloto/2465
REVANCHA,2465,4 de Enero de 2025,16,34,36,37,40,12,33,https://www.baloto.com/resultados-revancha/2465
BALOTO,2464,1 de Enero de 2025,17,28,33,39,43,6,33,https://www.baloto.com/resultados-baloto/2464
REVANCHA,2464,1 de Enero de 2025,11,16,18,37,40,16,33,https://www.baloto.com/resultados-revancha/2464
BALOTO,2463,28 de Diciembre de 2024,1,4,12,14,34,6,33,https://www.baloto.com/resultados-baloto/2463
REVANCHA,2463,28 de Diciembre de 2024,2,4,22,24,32,10,33,https://www.baloto.com/resultados-revancha/2463
BALOTO,2462,25 de Diciembre de 2024,5,8,22,26,38,8,34,https://www.baloto.com/resultados-baloto/2462
REVANCHA,2462,25 de Diciembre de 2024,4,19,28,32,39,13,34,https://www.baloto.com/resultados-revancha/2462
BALOTO,2461,21 de Diciembre de 2024,10,12,16,21,41,13,34,https://www.baloto.com/resultados-baloto/2461
REVANCHA,2461,21 de Diciembre de 2024,11,13,27,28,43,15,34,https://www.baloto.com/resultados-revancha/2461
BALOTO,2460,18 de Diciembre de 2024,4,12,28,36,43,13,34,https://www.baloto.com/resultados-baloto/2460
REVANCHA,2460,18 de Diciembre de 2024,9,10,15,26,28,2,34,https://www.baloto.com/resultados-revancha/2460
BALOTO,2459,14 de Diciembre de 2024,15,22,26,32,39,12,34,https://www.baloto.com/resultados-baloto/2459
REVANCHA,2459,14 de Diciembre de 2024,19,25,32,34,41,9,34,https://www.baloto.com/resultados-revancha/2459
BALOTO,2458,11 de Diciembre de 2024,5,12,13,17,43,16,34,https://www.baloto.com/resultados-baloto/2458
REVANCHA,2458,11 de Diciembre de 2024,10,12,18,22,40,4,34,https://www.baloto.com/resultados-revancha/2458
BALOTO,2457,7 de Diciembre de 2024,9,11,34,36,37,15,35,https://www.baloto.com/resultados-baloto/2457
REVANCHA,2457,7 de Diciembre de 2024,5,10,15,21,22,12,35,https://www.baloto.com/resultados-revancha/2457
BALOTO,2456,4 de Diciembre de 2024,11,14,31,39,41,5,35,https://www.baloto.com/resultados-baloto/2456
REVANCHA,2456,4 de Diciembre de 2024,7,10,16,31,36,10,35,https://www.baloto.com/resultados-revancha/2456
BALOTO,2455,30 de Noviembre de 2024,10,12,22,23,34,13,35,https://www.baloto.com/resultados-baloto/2455
REVANCHA,2455,30 de Noviembre de 2024,3,12,14,19,28,9,35,https://www.baloto.com/resultados-revancha/2455
BALOTO,2454,27 de Noviembre de 2024,5,7,15,20,24,16,35,https://www.baloto.com/resultados-baloto/2454
REVANCHA,2454,27 de Noviembre de 2024,10,21,22,36,40,14,35,https://www.baloto.com/resultados-revancha/2454
BALOTO,2453,23 de Noviembre de 2024,5,13,24,25,36,9,35,https://www.baloto.com/resultados-baloto/2453
REVANCHA,2453,23 de Noviembre de 2024,7,13,15,33,34,8,35,https://www.baloto.com/resultados-revancha/2453
BALOTO,2452,20 de Noviembre de 2024,9,17,22,36,38,16,36,https://www.baloto.com/resultados-baloto/2452
REVANCHA,2452,20 de Noviembre de 2024,11,12,19,21,32,3,36,https://www.baloto.com/resultados-revancha/2452
BALOTO,2451,16 de Noviembre de 2024,8,15,21,35,41,2,36,https://www.baloto.com/resultados-baloto/2451
REVANCHA,2451,16 de Noviembre de 2024,1,23,32,36,40,13,36,https://www.baloto.com/resultados-revancha/2451
BALOTO,2450,13 de Noviembre de 2024,2,3,9,10,15,16,36,https://www.baloto.com/resultados-baloto/2450
REVANCHA,2450,13 de Noviembre de 2024,1,5,25,29,31,12,36,https://www.baloto.com/resultados-revancha/2450
BALOTO,2449,9 de Noviembre de 2024,13,28,29,31,41,4,36,https://www.baloto.com/resultados-baloto/2449
REVANCHA,2449,9 de Noviembre de 2024,7,20,24,33,40,6,36,https://www.baloto.com/resultados-revancha/2449
BALOTO,2448,6 de Noviembre de 2024,3,4,20,30,37,12,36,https://www.baloto.com/resultados-baloto/2448
REVANCHA,2448,6 de Noviembre de 2024,6,15,24,28,31,10,36,https://www.baloto.com/resultados-revancha/2448
BALOTO,2447,2 de Noviembre de 2024,1,9,19,29,39,6,37,https://www.baloto.com/resultados-baloto/2447
REVANCHA,2447,2 de Noviembre de 2024,10,24,36,40,42,11,37,https://www.baloto.com/resultados-revancha/2447
BALOTO,2446,30 de Octubre de 2024,6,14,15,29,42,14,37,https://www.baloto.com/resultados-baloto/2446
REVANCHA,2446,30 de Octubre de 2024,6,25,33,42,43,10,37,https://www.baloto.com/resultados-revancha/2446
BALOTO,2445,26 de Octubre de 2024,1,4,11,21,43,4,37,https://www.baloto.com/resultados-baloto/2445
REVANCHA,2445,26 de Octubre de 2024,18,20,21,26,32,3,37,https://www.baloto.com/resultados-revancha/2445
BALOTO,2444,23 de Octubre de 2024,1,4,13,34,43,16,37,https://www.baloto.com/resultados-baloto/2444
REVANCHA,2444,23 de Octubre de 2024,8,14,16,26,32,9,37,https://www.baloto.com/resultados-revancha/2444
BALOTO,2443,19 de Octubre de 2024,18,19,26,29,40,1,37,https://www.baloto.com/resultados-baloto/2443
REVANCHA,2443,19 de Octubre de 2024,31,32,33,39,43,14,37,https://www.baloto.com/resultados-revancha/2443
BALOTO,2442,16 de Octubre de 2024,10,14,19,24,39,5,38,https://www.baloto.com/resultados-baloto/2442
REVANCHA,2442,16 de Octubre de 2024,1,16,23,33,42,5,38,https://www.baloto.com/resultados-revancha/2442
BALOTO,2441,12 de Octubre de 2024,1,9,21,39,41,15,38,https://www.baloto.com/resultados-baloto/2441
REVANCHA,2441,12 de Octubre de 2024,4,5,9,18,34,16,38,https://www.baloto.com/resultados-revancha/2441
BALOTO,2440,9 de Octubre de 2024,9,21,36,37,41,9,38,https://www.baloto.com/resultados-baloto/2440
REVANCHA,2440,9 de Octubre de 2024,5,7,10,25,43,16,38,https://www.baloto.com/resultados-revancha/2440
BALOTO,2439,5 de Octubre de 2024,5,12,17,37,42,12,38,https://www.baloto.com/resultados-baloto/2439
REVANCHA,2439,5 de Octubre de 2024,12,13,27,32,34,6,38,https://www.baloto.com/resultados-revancha/2439
BALOTO,2438,2 de Octubre de 2024,5,16,17,27,36,4,38,https://www.baloto.com/resultados-baloto/2438
REVANCHA,2438,2 de Octubre de 2024,12,20,24,34,39,7,38,https://www.baloto.com/resultados-revancha/2438
BALOTO,2437,28 de Septiembre de 2024,2,12,15,35,37,9,39,https://www.baloto.com/resultados-baloto/2437
REVANCHA,2437,28 de Septiembre de 2024,7,14,19,20,27,16,39,https://www.baloto.com/resultados-revancha/2437
BALOTO,2436,25 de Septiembre de 2024,1,8,11,33,35,6,39,https://www.baloto.com/resultados-baloto/2436
REVANCHA,2436,25 de Septiembre de 2024,6,15,29,32,42,12,39,https://www.baloto.com/resultados-revancha/2436
BALOTO,2435,21 de Septiembre de 2024,2,16,18,35,42,6,39,https://www.baloto.com/resultados-baloto/2435
REVANCHA,2435,21 de Septiembre de 2024,4,27,29,37,43,4,39,https://www.baloto.com/resultados-revancha/2435
BALOTO,2434,18 de Septiembre de 2024,14,18,22,33,41,13,39,https://www.baloto.com/resultados-baloto/2434
REVANCHA,2434,18 de Septiembre de 2024,8,9,10,16,23,3,39,https://www.baloto.com/resultados-revancha/2434
BALOTO,2433,14 de Septiembre de 2024,31,32,39,41,43,11,39,https://www.baloto.com/resultados-baloto/2433
REVANCHA,2433,14 de Septiembre de 2024,11,13,16,28,42,4,39,https://www.baloto.com/resultados-revancha/2433
BALOTO,2432,11 de Septiembre de 2024,6,12,24,25,28,15,40,https://www.baloto.com/resultados-baloto/2432
REVANCHA,2432,11 de Septiembre de 2024,4,12,28,32,40,10,40,https://www.baloto.com/resultados-revancha/2432
BALOTO,2431,7 de Septiembre de 2024,6,19,23,27,35,10,40,https://www.baloto.com/resultados-baloto/2431
REVANCHA,2431,7 de Septiembre de 2024,3,5,6,36,42,1,40,https://www.baloto.com/resultados-revancha/2431
BALOTO,2430,4 de Septiembre de 2024,12,17,22,36,43,11,40,https://www.baloto.com/resultados-baloto/2430
REVANCHA,2430,4 de Septiembre de 2024,23,25,34,42,43,4,40,https://www.baloto.com/resultados-revancha/2430
BALOTO,2429,31 de Agosto de 2024,1,8,9,22,34,2,40,https://www.baloto.com/resultados-baloto/2429
REVANCHA,2429,31 de Agosto de 2024,2,4,20,22,32,11,40,https://www.baloto.com/resultados-revancha/2429
BALOTO,2428,28 de Agosto de 2024,6,7,11,27,42,15,40,https://www.baloto.com/resultados-baloto/2428
REVANCHA,2428,28 de Agosto de 2024,2,4,21,32,33,13,40,https://www.baloto.com/resultados-revancha/2428
BALOTO,2427,24 de Agosto de 2024,1,3,21,30,39,15,41,https://www.baloto.com/resultados-baloto/2427
REVANCHA,2427,24 de Agosto de 2024,1,13,14,15,33,1,41,https://www.baloto.com/resultados-revancha/2427
BALOTO,2426,21 de Agosto de 2024,20,21,23,32,42,14,41,https://www.baloto.com/resultados-baloto/2426
REVANCHA,2426,21 de Agosto de 2024,4,13,37,39,41,15,41,https://www.baloto.com/resultados-revancha/2426
BALOTO,2425,17 de Agosto de 2024,4,10,15,33,37,1,41,https://www.baloto.com/resultados-baloto/2425
REVANCHA,2425,17 de Agosto de 2024,1,22,27,31,40,11,41,https://www.baloto.com/resultados-revancha/2425
BALOTO,2424,14 de Agosto de 2024,3,9,13,21,27,7,41,https://www.baloto.com/resultados-baloto/2424
REVANCHA,2424,14 de Agosto de 2024,3,22,25,33,38,12,41,https://www.baloto.com/resultados-revancha/2424
BALOTO,2423,10 de Agosto de 2024,1,12,18,26,39,11,41,https://www.baloto.com/resultados-baloto/2423
REVANCHA,2423,10 de Agosto de 2024,2,4,32,39,42,3,41,https://www.baloto.com/resultados-revancha/2423
BALOTO,2422,7 de Agosto de 2024,1,21,36,41,42,16,42,https://www.baloto.com/resultados-baloto/2422
REVANCHA,2422,7 de Agosto de 2024,4,17,24,29,43,5,42,https://www.baloto.com/resultados-revancha/2422
BALOTO,2421,3 de Agosto de 2024,5,21,24,34,43,3,42,https://www.baloto.com/resultados-baloto/2421
REVANCHA,2421,3 de Agosto de 2024,8,14,23,28,32,13,42,https://www.baloto.com/resultados-revancha/2421
BALOTO,2420,31 de Julio de 2024,2,24,32,38,42,10,42,https://www.baloto.com/resultados-baloto/2420
REVANCHA,2420,31 de Julio de 2024,1,4,9,33,37,15,42,https://www.baloto.com/resultados-revancha/2420
BALOTO,2419,27 de Julio de 2024,19,25,32,38,41,13,42,https://www.baloto.com/resultados-baloto/2419
REVANCHA,2419,27 de Julio de 2024,8,12,22,25,39,11,42,https://www.baloto.com/resultados-revancha/2419
BALOTO,2418,24 de Julio de 2024,6,29,31,36,41,6,42,https://www.baloto.com/resultados-baloto/2418
REVANCHA,2418,24 de Julio de 2024,9,12,21,30,41,2,42,https://www.baloto.com/resultados-revancha/2418
BALOTO,2417,20 de Julio de 2024,2,3,10,29,43,16,43,https://www.baloto.com/resultados-baloto/2417
REVANCHA,2417,20 de Julio de 2024,6,11,26,27,40,7,43,https://www.baloto.com/resultados-revancha/2417
BALOTO,2416,17 de Julio de 2024,16,33,36,39,43,6,43,https://www.baloto.com/resultados-baloto/2416
REVANCHA,2416,17 de Julio de 2024,23,24,27,29,40,9,43,https://www.baloto.com/resultados-revancha/2416
BALOTO,2415,13 de Julio de 2024,6,7,18,25,41,16,43,https://www.baloto.com/resultados-baloto/2415
REVANCHA,2415,13 de Julio de 2024,7,15,21,29,36,8,43,https://www.baloto.com/resultados-revancha/2415
BALOTO,2414,10 de Julio de 2024,3,11,21,22,36,11,43,https://www.baloto.com/resultados-baloto/2414
REVANCHA,2414,10 de Julio de 2024,12,15,21,26,39,9,43,https://www.baloto.com/resultados-revancha/2414
BALOTO,2413,6 de Julio de 2024,14,18,26,32,42,1,43,https://www.baloto.com/resultados-baloto/2413
REVANCHA,2413,6 de Julio de 2024,8,10,16,30,35,11,43,https://www.baloto.com/resultados-revancha/2413
BALOTO,2412,3 de Julio de 2024,9,19,27,32,43,2,44,https://www.baloto.com/resultados-baloto/2412
REVANCHA,2412,3 de Julio de 2024,5,7,19,22,25,5,44,https://www.baloto.com/resultados-revancha/2412
BALOTO,2411,29 de Junio de 2024,4,5,16,21,32,14,44,https://www.baloto.com/resultados-baloto/2411
REVANCHA,2411,29 de Junio de 2024,8,19,25,28,41,2,44,https://www.baloto.com/resultados-revancha/2411
BALOTO,2410,26 de Junio de 2024,6,13,20,36,43,9,44,https://www.baloto.com/resultados-baloto/2410
REVANCHA,2410,26 de Junio de 2024,7,11,32,40,41,9,44,https://www.baloto.com/resultados-revancha/2410
BALOTO,2409,22 de Junio de 2024,4,7,21,25,33,16,44,https://www.baloto.com/resultados-baloto/2409
REVANCHA,2409,22 de Junio de 2024,4,15,16,20,34,4,44,https://www.baloto.com/resultados-revancha/2409
BALOTO,2408,19 de Junio de 2024,12,17,22,23,39,13,44,https://www.baloto.com/resultados-baloto/2408
REVANCHA,2408,19 de Junio de 2024,2,11,13,24,37,11,44,https://www.baloto.com/resultados-revancha/2408
BALOTO,2407,15 de Junio de 2024,6,10,18,40,43,16,45,https://www.baloto.com/resultados-baloto/2407
REVANCHA,2407,15 de Junio de 2024,2,13,14,30,43,3,45,https://www.baloto.com/resultados-revancha/2407
BALOTO,2406,12 de Junio de 2024,4,9,15,20,34,1,45,https://www.baloto.com/resultados-baloto/2406
REVANCHA,2406,12 de Junio de 2024,4,9,13,14,20,12,45,https://www.baloto.com/resultados-revancha/2406
BALOTO,2405,8 de Junio de 2024,5,16,17,29,38,7,45,https://www.baloto.com/resultados-baloto/2405
REVANCHA,2405,8 de Junio de 2024,7,25,28,39,41,7,45,https://www.baloto.com/resultados-revancha/2405
BALOTO,2404,5 de Junio de 2024,3,19,24,38,39,5,45,https://www.baloto.com/resultados-baloto/2404
REVANCHA,2404,5 de Junio de 2024,8,18,20,28,41,4,45,https://www.baloto.com/resultados-revancha/2404
BALOTO,2403,1 de Junio de 2024,16,22,26,27,37,9,45,https://www.baloto.com/resultados-baloto/2403
REVANCHA,2403,1 de Junio de 2024,10,26,28,29,40,15,45,https://www.baloto.com/resultados-revancha/2403
BALOTO,2402,29 de Mayo de 2024,7,8,14,15,19,6,46,https://www.baloto.com/resultados-baloto/2402
REVANCHA,2402,29 de Mayo de 2024,18,19,23,25,38,14,46,https://www.baloto.com/resultados-revancha/2402
BALOTO,2401,25 de Mayo de 2024,12,18,39,40,41,3,46,https://www.baloto.com/resultados-baloto/2401
REVANCHA,2401,25 de Mayo de 2024,7,12,27,28,37,16,46,https://www.baloto.com/resultados-revancha/2401
BALOTO,2400,22 de Mayo de 2024,5,11,14,21,33,6,46,https://www.baloto.com/resultados-baloto/2400
REVANCHA,2400,22 de Mayo de 2024,5,11,16,17,37,13,46,https://www.baloto.com/resultados-revancha/2400
BALOTO,2399,18 de Mayo de 2024,12,19,28,35,42,4,46,https://www.baloto.com/resultados-baloto/2399
REVANCHA,2399,18 de Mayo de 2024,1,10,16,27,35,13,46,https://www.baloto.com/resultados-revancha/2399
BALOTO,2398,15 de Mayo de 2024,2,4,10,27,41,2,46,https://www.baloto.com/resultados-baloto/2398
REVANCHA,2398,15 de Mayo de 2024,3,4,6,15,23,10,46,https://www.baloto.com/resultados-revancha/2398
BALOTO,2397,11 de Mayo de 2024,4,11,16,21,39,8,47,https://www.baloto.com/resultados-baloto/2397
REVANCHA,2397,11 de Mayo de 2024,12,23,35,38,42,1,47,https://www.baloto.com/resultados-revancha/2397
BALOTO,2396,8 de Mayo de 2024,13,16,23,26,30,16,47,https://www.baloto.com/resultados-baloto/2396
REVANCHA,2396,8 de Mayo de 2024,13,24,25,33,36,15,47,https://www.baloto.com/resultados-revancha/2396
BALOTO,2395,4 de Mayo de 2024,8,10,28,30,38,10,47,https://www.baloto.com/resultados-baloto/2395
REVANCHA,2395,4 de Mayo de 2024,24,29,34,35,36,14,47,https://www.baloto.com/resultados-revancha/2395
BALOTO,2394,1 de Mayo de 2024,20,23,25,31,36,12,47,https://www.baloto.com/resultados-baloto/2394
REVANCHA,2394,1 de Mayo de 2024,2,4,21,24,29,2,47,https://www.baloto.com/resultados-revancha/2394
BALOTO,2393,27 de Abril de 2024,11,13,21,23,24,6,47,https://www.baloto.com/resultados-baloto/2393
REVANCHA,2393,27 de Abril de 2024,1,2,15,21,23,13,47,https://www.baloto.com/resultados-revancha/2393
BALOTO,2392,24 de Abril de 2024,19,20,26,29,43,9,48,https://www.baloto.com/resultados-baloto/2392
REVANCHA,2392,24 de Abril de 2024,7,9,32,34,41,10,48,https://www.baloto.com/resultados-revancha/2392
BALOTO,2391,20 de Abril de 2024,2,12,31,32,35,3,48,https://www.baloto.com/resultados-baloto/2391
REVANCHA,2391,20 de Abril de 2024,7,9,12,37,41,7,48,https://www.baloto.com/resultados-revancha/2391
BALOTO,2390,17 de Abril de 2024,25,26,31,37,38,4,48,https://www.baloto.com/resultados-baloto/2390
REVANCHA,2390,17 de Abril de 2024,20,30,31,40,43,9,48,https://www.baloto.com/resultados-revancha/2390
BALOTO,2389,13 de Abril de 2024,2,16,31,37,43,5,48,https://www.baloto.com/resultados-baloto/2389
REVANCHA,2389,13 de Abril de 2024,4,10,11,30,37,13,48,https://www.baloto.com/resultados-revancha/2389
BALOTO,2388,10 de Abril de 2024,3,5,11,12,40,2,48,https://www.baloto.com/resultados-baloto/2388
REVANCHA,2388,10 de Abril de 2024,6,30,34,36,39,14,48,https://www.baloto.com/resultados-revancha/2388
BALOTO,2387,6 de Abril de 2024,2,24,25,26,30,9,49,https://www.baloto.com/resultados-baloto/2387
REVANCHA,2387,6 de Abril de 2024,13,17,24,41,43,10,49,https://www.baloto.com/resultados-revancha/2387
BALOTO,2386,3 de Abril de 2024,14,20,29,37,41,14,49,https://www.baloto.com/resultados-baloto/2386
REVANCHA,2386,3 de Abril de 2024,9,11,21,24,41,6,49,https://www.baloto.com/resultados-revancha/2386
BALOTO,2385,30 de Marzo de 2024,7,21,30,35,36,11,49,https://www.baloto.com/resultados-baloto/2385
REVANCHA,2385,30 de Marzo de 2024,15,18,23,30,34,1,49,https://www.baloto.com/resultados-revancha/2385
BALOTO,2384,27 de Marzo de 2024,2,3,8,11,32,16,49,https://www.baloto.com/resultados-baloto/2384
REVANCHA,2384,27 de Marzo de 2024,1,8,19,34,39,3,49,https://www.baloto.com/resultados-revancha/2384
BALOTO,2383,23 de Marzo de 2024,9,23,29,32,34,7,49,https://www.baloto.com/resultados-baloto/2383
REVANCHA,2383,23 de Marzo de 2024,10,14,21,32,41,8,49,https://www.baloto.com/resultados-revancha/2383
BALOTO,2382,20 de Marzo de 2024,17,22,24,35,40,8,50,https://www.baloto.com/resultados-baloto/2382
